provincia_normalizada,provincia,total_bachilleres_3ro,instituciones_bachillerato,total_estudiantes
GUAYAS,GUAYAS,70839,695,622061
PICHINCHA,PICHINCHA,51343,716,507226
MANABI,MANABI,25854,453,263495
LOS RIOS,LOS RIOS,14276,144,121079
AZUAY,AZUAY,12967,224,137453
EL ORO,EL ORO,11013,149,90927
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS TSACHILAS,9547,118,96282
ESMERALDAS,ESMERALDAS,9517,170,108498
TUNGURAHUA,TUNGURAHUA,9225,146,110527
IMBABURA,IMBABURA,8843,133,100167
COTOPAXI,COTOPAXI,8570,136,92524
LOJA,LOJA,8006,180,78882
CHIMBORAZO,CHIMBORAZO,7976,189,93212
SANTA ELENA,SANTA ELENA,6651,67,59359
SUCUMBIOS,SUCUMBIOS,3788,78,40845
CANAR,CAÑAR,3691,66,38533
BOLIVAR,BOLIVAR,3567,78,32476
ORELLANA,ORELLANA,3405,68,45647
MORONA SANTIAGO,MORONA SANTIAGO,2727,88,35005
CARCHI,CARCHI,2574,48,32064
NAPO,NAPO,2564,68,32512
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,2133,57,20864
PASTAZA,PASTAZA,1721,58,27189
GALAPAGOS,GALAPAGOS,460,12,5032
