provincia_normalizada,total_bachilleres,total_empresas,empresas_activas,ratio_bachilleres_por_empresa
AZUAY,136299,11884.0,9976.0,13.662690457097034
BOLIVAR,31298,565.0,511.0,61.24853228962818
CAA‘AR,36775,1189.0,1089.0,33.76951331496786
CARCHI,32734,683.0,612.0,53.48692810457516
CHIMBORAZO,91376,2491.0,2149.0,42.520241973010705
COTOPAXI,90426,2474.0,2227.0,40.60440053884149
EL ORO,88573,7462.0,6172.0,14.350777705767985
ESMERALDAS,109906,1900.0,1405.0,78.22491103202847
GALAPAGOS,5144,1583.0,1386.0,3.7113997113997113
GUAYAS,626058,83947.0,65830.0,9.510223302445693
IMBABURA,98072,2859.0,2509.0,39.0880829015544
LOJA,78418,3080.0,2618.0,29.953399541634834
LOS RIOS,120843,3783.0,3007.0,40.187229797140006
MANABI,268511,9757.0,7814.0,34.36281034041464
MORONA SANTIAGO,36358,1241.0,1064.0,34.171052631578945
NAPO,33049,796.0,708.0,46.679378531073446
ORELLANA,44924,1690.0,1492.0,30.109919571045577
PASTAZA,28870,744.0,659.0,43.80880121396055
PICHINCHA,518551,68479.0,57965.0,8.945932890537394
SANTA ELENA,58398,2647.0,2150.0,27.16186046511628
SANTO DOMINGO DE LOS TSACHILAS,99190,3242.0,2778.0,35.70554355651548
SUCUMBIOS,43423,1749.0,1412.0,30.752832861189802
TUNGURAHUA,110816,4060.0,3695.0,29.99079837618403
ZAMORA CHINCHIPE,21873,1472.0,1330.0,16.445864661654134
ZONA EN ESTUDIO,298,,,
