encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU*,may-22,2022,5,Empleo no clasificado,26807,24788,2018
ENEMDU,sep-19,2019,9,Empleo Adecuado/Pleno,3228032,2633820,594213
ENEMDU,sep-19,2019,9,Subempleo,1649346,1024458,624888
ENEMDU,sep-19,2019,9,Subempleo por insuficiencia de tiempo de trabajo,1369552,866211,503341
ENEMDU,sep-19,2019,9,Subempleo por insuficiencia de ingresos,279794,158247,121548
ENEMDU,sep-19,2019,9,Empleo no remunerado,870833,270698,600135
ENEMDU,sep-19,2019,9,Otro Empleo no pleno,2171045,1258855,912190
ENEMDU,sep-19,2019,9,Empleo no clasificado,53228,49222,4005
ENEMDU,sep-19,2019,9,Desempleo,406871,330941,75929
ENEMDU,sep-19,2019,9,Desempleo Abierto,347428,291813,55615
ENEMDU,sep-19,2019,9,Desempleo Oculto,59442,39129,20314
ENEMDU,sep-19,2019,9,Desempleo Cesante,289479,242259,47219
ENEMDU,sep-19,2019,9,Desempleo Nuevo,117392,88682,28710
ENEMDU,sep-19,2019,9,Poblaciï¿½n Econï¿½micamente Inactiva,3980045,3045100,934944
ENEMDU*,mar-21,2021,3,Poblaciï¿½n Econï¿½micamente Inactiva,4562366,3516758,1045608
ENEMDU*,abr-21,2021,4,Poblaciï¿½n Total,17775940,12118513,5657427
ENEMDU*,abr-21,2021,4,Poblaciï¿½n menor de 15 aï¿½os,5145015,3315545,1829470
ENEMDU*,abr-21,2021,4,Poblaciï¿½n en Edad de Trabajar (PET),12630925,8802968,3827957
ENEMDU*,abr-21,2021,4,Poblaciï¿½n Econï¿½micamente Activa,8324590,5429841,2894749
ENEMDU*,abr-21,2021,4,Empleo,7898750,5062501,2836249
ENEMDU*,abr-21,2021,4,Empleo Adecuado/Pleno,2565865,2080984,484881
ENEMDU*,abr-21,2021,4,Subempleo,1941860,1287448,654412
ENEMDU*,abr-21,2021,4,Subempleo por insuficiencia de tiempo de trabajo,1770788,1179159,591629
ENEMDU*,abr-21,2021,4,Subempleo por insuficiencia de ingresos,171072,108289,62782
ENEMDU*,abr-21,2021,4,Empleo no remunerado,1079300,302075,777224
ENEMDU*,abr-21,2021,4,Otro Empleo no pleno,2243726,1328171,915556
ENEMDU*,abr-21,2021,4,Empleo no clasificado,67998,63822,4176
ENEMDU*,nov-23,2023,11,Poblaciï¿½n Total,18453181,12580265,5872916
ENEMDU*,nov-23,2023,11,Poblaciï¿½n menor de 15 aï¿½os,5338665,3440062,1898603
ENEMDU*,nov-23,2023,11,Poblaciï¿½n en Edad de Trabajar (PET),13114516,9140203,3974313
ENEMDU*,nov-23,2023,11,Poblaciï¿½n Econï¿½micamente Activa,8492303,5558723,2933580
ENEMDU*,nov-23,2023,11,Empleo,8198722,5293318,2905404
ENEMDU,mar-19,2019,3,Empleo no clasificado,50267,48244,2022
ENEMDU,mar-19,2019,3,Desempleo,376255,314452,61803
ENEMDU,mar-19,2019,3,Desempleo Abierto,318393,271854,46539
ENEMDU,mar-19,2019,3,Desempleo Oculto,57862,42597,15264
ENEMDU*,feb-22,2022,2,Desempleo Oculto,53403,34547,18857
ENEMDU*,feb-22,2022,2,Desempleo Cesante,287464,251173,36291
ENEMDU*,feb-22,2022,2,Desempleo Nuevo,80190,52608,27581
ENEMDU*,feb-22,2022,2,Poblaciï¿½n Econï¿½micamente Inactiva,4308555,3337404,971151
ENEMDU*,mar-22,2022,3,Poblaciï¿½n Total,17998889,12270523,5728366
ENEMDU*,mar-22,2022,3,Poblaciï¿½n menor de 15 aï¿½os,5193229,3349290,1843939
ENEMDU*,mar-22,2022,3,Poblaciï¿½n en Edad de Trabajar (PET),12805660,8921233,3884427
ENEMDU*,mar-22,2022,3,Poblaciï¿½n Econï¿½micamente Activa,8314561,5480770,2833792
ENEMDU*,mar-22,2022,3,Empleo,7916916,5141772,2775144
ENEMDU*,mar-22,2022,3,Empleo Adecuado/Pleno,2721202,2223544,497658
ENEMDU*,mar-22,2022,3,Subempleo,1911075,1204779,706296
ENEMDU*,mar-22,2022,3,Subempleo por insuficiencia de tiempo de trabajo,1720362,1091571,628791
ENEMDU*,mar-22,2022,3,Subempleo por insuficiencia de ingresos,190713,113208,77505
ENEMDU*,abr-22,2022,4,Poblaciï¿½n Econï¿½micamente Inactiva,4296574,3254527,1042047
ENEMDU*,may-22,2022,5,Poblaciï¿½n Total,18039769,12298410,5741359
ENEMDU*,may-22,2022,5,Poblaciï¿½n menor de 15 aï¿½os,5204032,3356255,1847777
ENEMDU*,may-22,2022,5,Poblaciï¿½n en Edad de Trabajar (PET),12835737,8942155,3893582
ENEMDU*,may-22,2022,5,Poblaciï¿½n Econï¿½micamente Activa,8557854,5624871,2932983
ENEMDU*,may-22,2022,5,Empleo,8242866,5374751,2868115
ENEMDU*,may-22,2022,5,Empleo Adecuado/Pleno,2843061,2331214,511848
ENEMDU*,may-22,2022,5,Subempleo,1888344,1193915,694429
ENEMDU*,may-22,2022,5,Subempleo por insuficiencia de tiempo de trabajo,1717642,1089853,627789
ENEMDU*,may-22,2022,5,Subempleo por insuficiencia de ingresos,170702,104062,66640
ENEMDU*,may-22,2022,5,Empleo no remunerado,1011882,279389,732493
ENEMDU*,may-22,2022,5,Otro Empleo no pleno,2472772,1545445,927327
ENEMDU,mar-19,2019,3,Poblaciï¿½n en Edad de Trabajar (PET),12272857,8552501,3720356
ENEMDU,mar-19,2019,3,Poblaciï¿½n Econï¿½micamente Activa,8162787,5397912,2764876
ENEMDU,mar-19,2019,3,Empleo,7786532,5083460,2703072
ENEMDU,mar-19,2019,3,Empleo Adecuado/Pleno,3094795,2536513,558282
ENEMDU,mar-19,2019,3,Subempleo,1524118,996390,527727
