anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,grupos_ocupacion_ocupaciones_militares,grupos_ocupacion_directores_gerentes,grupos_ocupacion_profesionales_cientificos,grupos_ocupacion_tecnicos_medio_nivel,grupos_ocupacion_personal_apoyo_admin,grupos_ocupacion_trabajadores_servicios,grupos_ocupacion_agricultores_calificados,grupos_ocupacion_oficiales_operarios_artes,grupos_ocupacion_operadores_maquinaria,grupos_ocupacion_ocupaciones_elementales,grupos_ocupacion_no_especificado
2022,Azuay,Paute,Mujeres,De 80-84,36,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28556,2022_azuay_paute_mujeres_de8084,2026-07-09,0,0,0,0,1,3,12,4,0,3,13
2022,Azuay,Paute,Mujeres,85 o mï¿½s,12,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28557,2022_azuay_paute_mujeres_85oms,2026-07-09,0,0,0,0,0,0,0,2,0,1,9
2022,Azuay,Pucarï¿½,Hombres,De 70-74,53,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28586,2022_azuay_pucar_hombres_de7074,2026-07-09,0,0,1,0,0,0,14,2,1,3,32
2022,Azuay,Pucarï¿½,Hombres,De 75-79,38,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28587,2022_azuay_pucar_hombres_de7579,2026-07-09,0,0,0,0,0,0,6,1,0,0,31
2022,Azuay,Pucarï¿½,Hombres,De 80-84,37,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28588,2022_azuay_pucar_hombres_de8084,2026-07-09,0,0,0,0,0,2,7,0,0,1,27
2022,Azuay,Camilo Ponce Enrï¿½quez,Hombres,De 70-74,63,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,29018,2022_azuay_camiloponceenrquez_hombres_de7074,2026-07-09,0,0,1,0,4,11,15,4,5,18,5
2022,Azuay,Oï¿½a,Total Oï¿½a,De 60-64,97,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28760,2022_azuay_oa_totaloa_de6064,2026-07-09,0,1,5,3,1,10,13,6,6,8,44
2022,Azuay,Oï¿½a,Total Oï¿½a,De 65-69,63,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28761,2022_azuay_oa_totaloa_de6569,2026-07-09,0,0,0,3,0,8,10,4,1,7,30
2022,Azuay,Oï¿½a,Total Oï¿½a,De 70-74,37,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28762,2022_azuay_oa_totaloa_de7074,2026-07-09,0,4,0,1,0,3,12,1,0,0,16
2022,Azuay,Oï¿½a,Total Oï¿½a,De 75-79,31,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28763,2022_azuay_oa_totaloa_de7579,2026-07-09,0,0,1,0,0,3,4,0,0,4,19
2022,Azuay,Pucarï¿½,Hombres,85 o mï¿½s,20,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28589,2022_azuay_pucar_hombres_85oms,2026-07-09,0,0,0,0,0,0,3,0,0,0,17
2022,Azuay,Pucarï¿½,Mujeres,Total Mujeres,888,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28590,2022_azuay_pucar_mujeres_totalmujeres,2026-07-09,0,4,56,35,28,152,55,13,4,129,412
2022,Azuay,Pucarï¿½,Mujeres,De 15-19,32,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,28591,2022_azuay_pucar_mujeres_de1519,2026-07-09,0,0,0,0,6,10,2,0,0,12,2
