anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,ramas_actividad_agricultura_pesca,ramas_actividad_minas_canteras,ramas_actividad_industrias_manufactureras,ramas_actividad_electricidad_gas,ramas_actividad_agua_saneamiento,ramas_actividad_construccion,ramas_actividad_comercio,ramas_actividad_transporte_almacenamiento,ramas_actividad_alojamiento_comidas,ramas_actividad_informacion_comunicacion,ramas_actividad_financieras_seguros,ramas_actividad_inmobiliarias,ramas_actividad_profesionales_cientificas,ramas_actividad_servicios_administrativos,ramas_actividad_administracion_publica,ramas_actividad_ensenanza,ramas_actividad_salud_asistencia,ramas_actividad_arte_entretenimiento,ramas_actividad_otros_servicios,ramas_actividad_hogares_empleadores,ramas_actividad_organizaciones_extraterritoriales,ramas_actividad_no_clasificado
2022,Azuay,Santa Isabel,Mujeres,De 35-39,427,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17286,2022_azuay_santaisabel_mujeres_de3539,2026-07-09,67,2,7,0,3,1,73,5,46,2,10,1,3,24,30,38,16,2,16,40,0,41
2022,Azuay,Santa Isabel,Mujeres,De 40-44,356,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17287,2022_azuay_santaisabel_mujeres_de4044,2026-07-09,72,0,7,0,4,5,56,2,58,0,7,1,3,17,16,25,13,1,9,23,0,37
2022,Azuay,Santa Isabel,Mujeres,De 45-49,328,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17288,2022_azuay_santaisabel_mujeres_de4549,2026-07-09,72,1,6,0,0,0,57,4,39,1,1,1,1,21,12,11,9,3,1,26,0,62
2022,Azuay,Gualaceo,Mujeres,De 30-34,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17045,2022_azuay_gualaceo_mujeres_de3034,2026-07-09,23,83,0,140,2,1,2,213,14,89,7,15,4,40,24,65,65,65,6,41,88,0
2022,Azuay,Gualaceo,Mujeres,De 35-39,935,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17046,2022_azuay_gualaceo_mujeres_de3539,2026-07-09,83,0,133,2,3,6,173,11,79,4,27,1,27,39,43,74,50,2,28,100,0,50
2022,Azuay,Gualaceo,Mujeres,De 40-44,790,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17047,2022_azuay_gualaceo_mujeres_de4044,2026-07-09,89,0,106,0,5,4,173,6,65,3,3,0,17,39,31,47,29,4,26,82,0,61
2022,Azuay,Santa Isabel,Mujeres,De 50-54,294,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17289,2022_azuay_santaisabel_mujeres_de5054,2026-07-09,83,1,9,0,2,1,52,0,31,0,0,2,2,9,10,18,11,1,2,19,0,41
2022,Azuay,Santa Isabel,Mujeres,De 55-59,261,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17290,2022_azuay_santaisabel_mujeres_de5559,2026-07-09,69,0,11,0,0,0,42,1,19,0,0,3,4,11,10,13,4,0,1,16,0,57
2022,Azuay,Santa Isabel,Mujeres,De 60-64,204,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17291,2022_azuay_santaisabel_mujeres_de6064,2026-07-09,53,1,8,0,0,0,25,4,20,0,1,1,0,3,2,2,4,1,1,9,0,69
2022,Azuay,Gualaceo,Mujeres,De 45-49,669,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,17048,2022_azuay_gualaceo_mujeres_de4549,2026-07-09,98,0,93,1,2,1,126,7,70,2,2,2,4,28,21,43,20,0,15,57,0,77
