anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2021,31,C -Manufactura de productos no alimenticios,ElaboraciÃ³n bebidas no alcohÃ³licas (excepto jugos),14655.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40264,2021_31,2026-07-09
2022,31,C -Manufactura de productos no alimenticios,ElaboraciÃ³n bebidas no alcohÃ³licas (excepto jugos),11975.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40265,2022_31,2026-07-09
2023,31,C -Manufactura de productos no alimenticios,ElaboraciÃ³n bebidas no alcohÃ³licas (excepto jugos),15806.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40266,2023_31,2026-07-09
2024P,31,C -Manufactura de productos no alimenticios,ElaboraciÃ³n bebidas no alcohÃ³licas (excepto jugos),12010.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40267,2024P_31,2026-07-09
2018,643478,Total C -Manufactura de productos no alimenticios,679238,609157.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40268,2018_643478,2026-07-09
2019,643478,Total C -Manufactura de productos no alimenticios,679238,576056.5,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40269,2019_643478,2026-07-09
2020,643478,Total C -Manufactura de productos no alimenticios,679238,560150.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40270,2020_643478,2026-07-09
2021,643478,Total C -Manufactura de productos no alimenticios,679238,582849.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40271,2021_643478,2026-07-09
2022,643478,Total C -Manufactura de productos no alimenticios,679238,549784.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40272,2022_643478,2026-07-09
2018,40,C -Refinados de petroleo,FabricaciÃ³n de productos refinados de petrÃ³leo y de otros,6310.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40273,2018_40,2026-07-09
