anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2019,12,A -Pesca y acuicultura,Pesca y acuicultura,1368134.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39996,2019_12,2026-07-09
2020,12,A -Pesca y acuicultura,Pesca y acuicultura,1233335.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39997,2020_12,2026-07-09
2021,12,A -Pesca y acuicultura,Pesca y acuicultura,1594242.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39998,2021_12,2026-07-09
2022,12,A -Pesca y acuicultura,Pesca y acuicultura,1466999.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39999,2022_12,2026-07-09
2023,12,A -Pesca y acuicultura,Pesca y acuicultura,1526465.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40000,2023_12,2026-07-09
2024P,12,A -Pesca y acuicultura,Pesca y acuicultura,1557250.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40001,2024P_12,2026-07-09
2018,1326952,Total A -Pesca y acuicultura,1368134,1233335.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40002,2018_1326952,2026-07-09
2019,1326952,Total A -Pesca y acuicultura,1368134,1594242.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40003,2019_1326952,2026-07-09
2020,1326952,Total A -Pesca y acuicultura,1368134,1466999.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40004,2020_1326952,2026-07-09
2021,1326952,Total A -Pesca y acuicultura,1368134,1526465.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40005,2021_1326952,2026-07-09
2022,1326952,Total A -Pesca y acuicultura,1368134,1557250.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40006,2022_1326952,2026-07-09
