encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_nacional_total,metricas_area_urbana,metricas_area_rural,metricas_sexo_hombre,metricas_sexo_mujer
ENEMDU*,may-22,2022,5,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15978,2022-05_empleonoclasificado,2026-07-09,26807,24788,2018,18055,8752
ENEMDU,sep-19,2019,9,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15576,2019-09_empleoadecuadopleno,2026-07-09,3228032,2633820,594213,2149089,1078943
ENEMDU,sep-19,2019,9,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15577,2019-09_subempleo,2026-07-09,1649346,1024458,624888,1006512,642835
ENEMDU,sep-19,2019,9,Subempleo por insuficiencia de tiempo de trabajo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15578,2019-09_subempleoporinsuficienciadetiempode,2026-07-09,1369552,866211,503341,796035,573517
ENEMDU,sep-19,2019,9,Subempleo por insuficiencia de ingresos,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15579,2019-09_subempleoporinsuficienciadeingresos,2026-07-09,279794,158247,121548,210476,69318
ENEMDU,sep-19,2019,9,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15580,2019-09_empleonoremunerado,2026-07-09,870833,270698,600135,248682,622151
ENEMDU,sep-19,2019,9,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15581,2019-09_otroempleonopleno,2026-07-09,2171045,1258855,912190,1167245,1003799
ENEMDU,sep-19,2019,9,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15582,2019-09_empleonoclasificado,2026-07-09,53228,49222,4005,35462,17766
ENEMDU,sep-19,2019,9,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15583,2019-09_desempleo,2026-07-09,406871,330941,75929,191777,215094
ENEMDU,sep-19,2019,9,Desempleo Abierto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15584,2019-09_desempleoabierto,2026-07-09,347428,291813,55615,162258,185170
ENEMDU,sep-19,2019,9,Desempleo Oculto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15585,2019-09_desempleooculto,2026-07-09,59442,39129,20314,29519,29924
ENEMDU,sep-19,2019,9,Desempleo Cesante,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15586,2019-09_desempleocesante,2026-07-09,289479,242259,47219,147584,141894
ENEMDU,sep-19,2019,9,Desempleo Nuevo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15587,2019-09_desempleonuevo,2026-07-09,117392,88682,28710,44192,73200
ENEMDU,sep-19,2019,9,Poblaciï¿½n Econï¿½micamente Inactiva,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15588,2019-09_poblacineconmicamenteinactiva,2026-07-09,3980045,3045100,934944,1246395,2733650
ENEMDU*,mar-21,2021,3,Poblaciï¿½n Econï¿½micamente Inactiva,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15732,2021-03_poblacineconmicamenteinactiva,2026-07-09,4562366,3516758,1045608,1389717,3172649
ENEMDU*,abr-21,2021,4,Poblaciï¿½n Total,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15733,2021-04_poblacintotal,2026-07-09,17775940,12118513,5657427,8700523,9075417
ENEMDU*,abr-21,2021,4,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15734,2021-04_poblacinmenorde15aos,2026-07-09,5145015,3315545,1829470,2522555,2622460
ENEMDU*,abr-21,2021,4,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15735,2021-04_poblacinenedaddetrabajarpet,2026-07-09,12630925,8802968,3827957,6177968,6452957
ENEMDU*,abr-21,2021,4,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15736,2021-04_poblacineconmicamenteactiva,2026-07-09,8324590,5429841,2894749,4837833,3486757
