periodo_fiscal,fecha_publicacion,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_iee_global,metricas_comercio,metricas_construccion,metricas_manufactura,metricas_servicios
2026-04,2026-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80544,2026-04,2026-07-09,53.8,55.2,56.5,47.8,55.3
2026-05,2026-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80545,2026-05,2026-07-09,54.0,57.1,49.0,49.2,55.6
2010-02,2010-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80350,2010-02,2026-07-09,54.2,56.9,46.9,53.8,54.4
2010-03,2010-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80351,2010-03,2026-07-09,57.2,65.1,49.5,61.0,52.7
2010-04,2010-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80352,2010-04,2026-07-09,56.6,61.7,50.7,52.6,56.7
2010-05,2010-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80353,2010-05,2026-07-09,52.1,56.2,42.4,49.3,53.1
2010-06,2010-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80354,2010-06,2026-07-09,53.0,55.9,48.6,51.7,52.9
2010-07,2010-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80355,2010-07,2026-07-09,58.9,56.8,47.7,55.6,63.6
2010-08,2010-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80356,2010-08,2026-07-09,57.1,57.6,54.2,53.7,58.9
2010-09,2010-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80357,2010-09,2026-07-09,59.1,57.5,48.5,60.0,61.6
2010-10,2010-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80358,2010-10,2026-07-09,61.3,61.3,49.6,58.6,64.8
2010-11,2010-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80359,2010-11,2026-07-09,57.1,62.0,55.7,48.7,58.6
2010-12,2010-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80360,2010-12,2026-07-09,56.5,57.7,62.1,46.1,59.6
2011-01,2011-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80361,2011-01,2026-07-09,53.6,43.9,62.8,49.8,58.6
2011-02,2011-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80362,2011-02,2026-07-09,55.5,55.0,60.5,54.4,55.3
2011-03,2011-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80363,2011-03,2026-07-09,56.3,63.8,60.1,54.7,52.2
2024-11,2024-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80527,2024-11,2026-07-09,54.7,60.0,45.1,50.1,55.8
2024-12,2024-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80528,2024-12,2026-07-09,55.1,60.2,43.3,50.2,56.9
2025-01,2025-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80529,2025-01,2026-07-09,49.6,44.8,45.5,50.6,52.5
2025-02,2025-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80530,2025-02,2026-07-09,49.7,46.5,55.1,52.9,49.0
2025-03,2025-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80531,2025-03,2026-07-09,59.9,62.0,43.7,57.1,63.1
2025-04,2025-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80532,2025-04,2026-07-09,55.2,53.8,61.7,55.9,54.4
2025-05,2025-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80533,2025-05,2026-07-09,56.4,55.1,62.3,53.3,57.3
2025-06,2025-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80534,2025-06,2026-07-09,48.5,48.4,51.9,45.3,49.3
2025-07,2025-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80535,2025-07,2026-07-09,56.2,55.4,47.7,55.0,58.7
2025-08,2025-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80536,2025-08,2026-07-09,54.7,57.0,57.7,51.1,54.5
2025-09,2025-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80537,2025-09,2026-07-09,55.0,52.5,57.4,52.8,56.8
2025-10,2025-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80538,2025-10,2026-07-09,57.0,60.2,63.7,55.2,54.8
2025-11,2025-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80539,2025-11,2026-07-09,55.7,60.1,54.6,46.3,57.9
2025-12,2025-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80540,2025-12,2026-07-09,55.7,48.9,64.7,53.2,58.7
2026-01,2026-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80541,2026-01,2026-07-09,48.2,43.4,61.6,49.8,47.4
2026-02,2026-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80542,2026-02,2026-07-09,51.6,49.0,57.3,51.0,52.3
2026-03,2026-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80543,2026-03,2026-07-09,60.6,61.3,57.9,58.9,61.6
2023-05,2023-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80509,2023-05,2026-07-09,58.8,59.7,51.7,53.6,62.1
2023-06,2023-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80510,2023-06,2026-07-09,51.0,51.0,56.2,48.0,51.3
2023-07,2023-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80511,2023-07,2026-07-09,54.9,55.4,51.4,49.6,57.8
2023-08,2023-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80512,2023-08,2026-07-09,52.7,52.5,52.1,51.0,53.6
