anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,17H03687,CECOMSYS,PICHINCHA,17,RUMIÑAHUI,1705,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,12,6,0,PICHINCHA,RUMINAHUI,6
2023-2024 INICIO,06H00116,COLEGIO DE BACHILLERATO DR EUGENIO ESPEJO PCEI,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,19,3,1,CHIMBORAZO,RIOBAMBA,4
2023-2024 INICIO,01H01615,COLEGIO DE BACHILLERATO PARTICULAR ATLÁNTICO PCEI,AZUAY,1,CUENCA,101,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,279,27,60,AZUAY,CUENCA,87
2023-2024 INICIO,01H02032,COLEGIO DE BACHILLERATO PARTICULAR NEUE SCHULE,AZUAY,1,CUENCA,101,BACHILLERATO,PARTICULAR,30,3,4,AZUAY,CUENCA,7
2023-2024 INICIO,11H01909,COLEGIO DE BACHILLERATO PARTICULAR PCEI DR JOSE MARIA VIVAR CASTRO,LOJA,11,LOJA,1101,BACHILLERATO,PARTICULAR,69,47,18,LOJA,LOJA,65
2023-2024 INICIO,11H00091,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,LOJA,11,LOJA,1101,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,136,44,25,LOJA,LOJA,69
2023-2024 INICIO,08H02102,COLEGIO DE BACHILLERATO PARTICULAR PCEI PROVINCIA DE ESMERALDAS,ESMERALDAS,8,ESMERALDAS,801,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,231,45,37,ESMERALDAS,ESMERALDAS,82
2023-2024 INICIO,17H04359,COLEGIO DE BACHILLERATO PARTICULAR PCEI VALLE,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,3,1,0,PICHINCHA,QUITO,1
2023-2024 INICIO,18H00993,COLEGIO DE BACHILLERATO PCEI AMÉRICA,TUNGURAHUA,18,AMBATO,1801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,155,29,33,TUNGURAHUA,AMBATO,62
2023-2024 INICIO,10H00080,COLEGIO DE BACHILLERATO PCEI AMERICANO,IMBABURA,10,IBARRA,1001,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,148,34,26,IMBABURA,IBARRA,60
2023-2024 INICIO,05H00853,COLEGIO DE BACHILLERATO PCEI BUENAS NUEVAS,COTOPAXI,5,PUJILI,504,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,44,9,2,COTOPAXI,PUJILI,11
2023-2024 INICIO,10H00084,COLEGIO DE BACHILLERATO PCEI MANUELA ESPEJO,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,83,33,12,IMBABURA,IBARRA,45
2023-2024 INICIO,06H01926,COLEGIO DE BACHILLERATO PCEI OXFORD,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,38,4,4,CHIMBORAZO,RIOBAMBA,8
2023-2024 INICIO,06H01452,COLEGIO DE BACHILLERATO PCEI SULTANA DE LOS ANDES,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,92,13,10,CHIMBORAZO,RIOBAMBA,23
2023-2024 INICIO,10H00786,COLEGIO DE BACHILLERATO PCEI TIERRA NUEVA,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,256,34,27,IMBABURA,IBARRA,61
2023-2024 INICIO,10H00115,COLEGIO DE BACHILLERATO PCEI VIEJO LUCHADOR,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,185,32,12,IMBABURA,IBARRA,44
2023-2024 INICIO,13H05184,COLEGIO PARTICULAR A DISTANCIA MANUELA SAENZ,MANABI,13,PORTOVIEJO,1301,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,30,16,8,MANABI,PORTOVIEJO,24
2023-2024 INICIO,17H02378,COLEGIO POPULAR PARTICULAR A DISTANCIA SIMON BOLIVAR,PICHINCHA,17,RUMIÑAHUI,1705,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,90,17,18,PICHINCHA,RUMINAHUI,35
2023-2024 INICIO,15H00274,CRISTOBAL COLON,NAPO,15,TENA,1501,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,32,13,3,NAPO,TENA,16
2023-2024 INICIO,17H02179,DON BOSCO CAYAMBE,PICHINCHA,17,CAYAMBE,1702,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,77,15,13,PICHINCHA,CAYAMBE,28
2023-2024 INICIO,05H00846,EXTENSIÓN EDUCATIVA MORASPUNGO PERTENECIENTE A LA UE PCEI EL CORAZÓN,COTOPAXI,5,PANGUA,503,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,103,16,7,COTOPAXI,PANGUA,23
2023-2024 INICIO,17H00044,INSTITUCIÓN EDUCATIVA PARTICULAR JERICO,PICHINCHA,17,QUITO,1701,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,20,7,4,PICHINCHA,QUITO,11
2023-2024 INICIO,17H03444,INSTITUCIÓN EDUCATIVA PARTICULAR PARA PERSONAS CON ESCOLARIDAD INCONCLUSA ISRAEL,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,59,17,14,PICHINCHA,QUITO,31
2023-2024 INICIO,06H01036,JOSE MARIA VELAZ,CHIMBORAZO,6,GUANO,607,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,7,4,1,CHIMBORAZO,GUANO,5
2023-2024 INICIO,17H02180,PCEI OSWALDO GUAYASAMIN,PICHINCHA,17,CAYAMBE,1702,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,52,10,4,PICHINCHA,CAYAMBE,14
2023-2024 INICIO,17H04190,PCEI SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,BACHILLERATO,PARTICULAR,32,15,17,PICHINCHA,RUMINAHUI,32
2023-2024 INICIO,10H00587,PEDRO VICENTE MALDONADO,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,295,81,39,IMBABURA,IBARRA,120
2023-2024 INICIO,17H03618,SAN JUAN PABLO II,PICHINCHA,17,QUITO,1701,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,210,58,28,PICHINCHA,QUITO,86
2023-2024 INICIO,17H02379,SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,BACHILLERATO,PARTICULAR,32,19,13,PICHINCHA,RUMINAHUI,32
2023-2024 INICIO,17H04340,"U.E. FISCOMISIONAL JOSÉ MARÍA VÉLAZ, S.J.- IRFEYAL- MATRIZ",PICHINCHA,17,QUITO,1701,BACHILLERATO,FISCOMISIONAL,110,31,33,PICHINCHA,QUITO,64
2023-2024 INICIO,17H00469,UE PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,54,14,13,PICHINCHA,QUITO,27
2023-2024 INICIO,17H04396,UEP PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,1,0,1,PICHINCHA,QUITO,1
2023-2024 INICIO,02H00794,UNIDAD EDUCATIVA PCEI 23 DE AGOSTO,BOLIVAR,2,GUARANDA,201,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,20,9,2,BOLIVAR,GUARANDA,11
2023-2024 INICIO,05H00258,UNIDAD EDUCATIVA PCEI MONSEÑOR LEONIDAS PROAÑO,COTOPAXI,5,PANGUA,503,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,49,4,8,COTOPAXI,PANGUA,12
2023-2024 INICIO,13H05166,UNIDAD EDUCATIVA A DISTANCIA RIOS DE AGUA VIVA,MANABI,13,MANTA,1308,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,65,15,8,MANABI,MANTA,23
2023-2024 INICIO,17H04413,UNIDAD EDUCATIVA ARUPOS,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,604,35,46,PICHINCHA,QUITO,81
2023-2024 INICIO,17H04399,UNIDAD EDUCATIVA BENNARES,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,43,4,2,PICHINCHA,QUITO,6
2023-2024 INICIO,13H04857,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAS SJ EXT 28 CHONE,MANABI,13,CHONE,1303,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,17,1,3,MANABI,CHONE,4
2023-2024 INICIO,13H04858,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 30 FLAVIO ALFARO,MANABI,13,FLAVIO ALFARO,1305,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,177,24,13,MANABI,FLAVIO ALFARO,37
2023-2024 INICIO,13H04864,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 86D LAS HABRAS,MANABI,13,CHONE,1303,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,14,3,2,MANABI,CHONE,5
2023-2024 INICIO,05H00268,"UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ, SJ  IRFEYAL  EXTENSION 95-A-LA MANA",COTOPAXI,5,LA MANA,502,BACHILLERATO Y OFERTAS INTENSIVAS,FISCOMISIONAL,104,10,9,COTOPAXI,LA MANA,19
2023-2024 INICIO,08H00131,UNIDAD EDUCATIVA FISCOMISIONAL PCEI MONSEÑOR LEONIDAS PROAÑO,ESMERALDAS,8,ESMERALDAS,801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,625,86,53,ESMERALDAS,ESMERALDAS,139
2023-2024 INICIO,01H00283,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCOMISIONAL,787,92,87,AZUAY,CUENCA,179
2023-2024 INICIO,01H01546,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,420,63,57,AZUAY,CUENCA,120
