anio_fiscal,pib_nominal_millones,poblacion_total,pib_pc_nominal_usd,tasa_variacion_anual,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
1981,22115.453428280933,8286189,2668.953535609788,18.106670772194235,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39718,1981,2026-07-09
1982,20059.812068644787,8498305,2360.4485916479566,-11.559022659843565,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39719,1982,2026-07-09
1983,17256.54784873159,8715248,1980.040940743349,-16.115904928013048,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39720,1983,2026-07-09
1984,16943.154460529127,8937841,1895.665235097506,-4.26131116330184,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39721,1984,2026-07-09
1985,17304.168184984563,9165196,1888.0303470852737,-0.40275507884384165,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39722,1985,2026-07-09
1986,14981.725570960194,9395641,1594.5400181807918,-15.544788745454753,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39723,1986,2026-07-09
1987,13419.72266111848,9628100,1393.807985076856,-12.588710901903266,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39724,1987,2026-07-09
1988,12251.597190471477,9861959,1242.3086721889108,-10.86945364856634,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39725,1988,2026-07-09
1989,13247.373975549901,10097190,1311.9862036417953,5.608713278167388,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39726,1989,2026-07-09
1990,14949.428425101585,10333865,1446.644447658411,10.263693600041911,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39727,1990,2026-07-09
1991,16437.645697430158,10569075,1555.2586860657302,7.508011977865459,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39728,1991,2026-07-09
1992,17390.510348668504,10796270,1610.7887584016057,3.5704717699630795,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39729,1992,2026-07-09
1993,18334.685083282715,11014242,1664.634305591135,3.34280624375356,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39730,1993,2026-07-09
1994,22117.6492708742,11228134,1969.8419408669508,18.334815896241686,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39731,1994,2026-07-09
