anio,pib_real_musd,poblacion,pib_percapita_real_usd,variacion_pib_pct
1965,11913.499366873479,5333856,2233.5622421890425,
1966,12163.19031623626,5489552,2215.698169219685,2.0958657206719966
1967,12636.436990391485,5649957,2236.5545419888126,3.89081040295407
1968,12927.387326442613,5814989,2223.1146656412616,2.302471307951448
1969,13614.093419796764,5984485,2274.8980772442014,5.312025361454986
1970,14578.555757694388,6158194,2367.3427238074,7.08429351964901
1971,15170.138681057872,6335826,2394.342692027507,4.057898005783267
1972,16542.37903364583,6517052,2538.322393874689,9.045667817799252
1973,17842.23270201036,6701476,2662.4332761932383,7.8577190482743475
1974,20056.515647489898,6888846,2911.4478168752644,12.410346745617984
1975,22607.181463662462,7079340,3193.4024165617784,12.717392497294444
1976,23999.687397751506,7273086,3299.794254839212,6.1595733918767825
1977,24454.865904798196,7469958,3273.762169050776,1.8966018161108877
1978,25713.21302363802,7669741,3352.552977165464,5.145589935919159
1979,26768.759939445965,7872290,3400.377773106169,4.105075918896595
1980,27604.70401970091,8077675,3417.4071152529546,3.122834536026109
1981,30303.882113792966,8286189,3657.155552907732,9.777964263502703
1982,30804.65672258467,8498305,3624.8000892630557,1.652509757367926
1983,31022.134537214468,8715248,3559.52401322538,0.7059900604909686
1984,31929.89989960457,8937841,3572.43991022044,2.9261860150246344
1985,33464.01965354519,9165196,3651.2061120728013,4.804649431298791
1986,34617.438690263756,9395641,3684.4147930155864,3.446743842072686
1987,35925.60920732987,9628100,3731.329048029193,3.778935029742869
1988,37000.520835600684,9861959,3751.842898109867,2.9920484356086963
1989,38074.78352131346,10097190,3770.8296586786482,2.9033717943752757
1990,40557.04351532084,10333865,3924.673248133282,6.519432980145123
1991,42306.979641947466,10569075,4002.9027745519325,4.31475269139272
1992,43011.27209541101,10796270,3983.901115423291,1.6647192955490997
1993,44109.79031779038,11014242,4004.7958196115887,2.554024024080359
1994,45814.24344609402,11228134,4080.3078629177403,3.8641152361501563
1995,46706.9759664727,11440937,4082.443244506346,1.9485916458035657
1996,49017.33285732826,11653346,4206.28829327888,4.946492131098279
1997,50237.58855090011,11864682,4234.2128133649185,2.4894371489439626
1998,51941.057071329655,12074210,4301.818261511905,3.3908246187087654
1999,49665.731060844955,12281694,4043.8827950643417,-4.380592422984442
2000,52158.03995407137,12480574,4179.13791097039,5.018166127813806
2001,54351.94923581134,12681367,4285.969267809325,4.206272482002493
2002,57030.465666536766,12900668,4420.737411933767,4.9280963578774095
2003,58675.51004391423,13131753,4468.2160899549535,2.884501043698684
2004,62684.45382679273,13366595,4689.635155908646,6.832396991313905
2005,66068.55003440834,13604351,4856.427920332866,5.398621190776298
2006,68936.67386784051,13852369,4976.525955079634,4.341133310687817
2007,70248.1450951015,14106786,4979.741317058436,1.902428930318334
2008,74859.88108349172,14359090,5213.414017426712,6.5649220803580155
2009,75676.61145473529,14616393,5177.516193956696,1.0910121141290974
2010,78725.72614351373,14883661,5289.40602339127,4.02913744440343
2011,85402.83055997187,15160587,5633.213975156231,8.48147707686573
2012,90341.85725994881,15440550,5850.948137206823,5.783211946949085
2013,96856.62183455059,15717514,6162.337239499237,7.211236045165914
2014,100949.8461118007,15994366,6311.587849859175,4.226065497351361
2015,101070.67466662866,16269171,6212.404717279612,0.1196916681716953
2016,100375.35400413565,16532265,6071.48228050637,-0.68795490362209
2017,106368.16411547796,16792803,6334.151845613741,5.970399975969554
2018,107478.96100000001,17077883,6293.459265413636,1.0442944970979084
2019,107656.73599999999,17356880,6202.53962693756,0.1654044646003161
2020,97703.76718170314,17526455,5574.645139687583,-9.245096208654202
2021,106909.31128696745,17614396,6069.4281703992265,9.42189269748872
2022,113183.20246843527,17715301,6389.008149984878,5.86842353200403
