codigo_provincia,provincia,codigo_canton,canton,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,sectores_agricultura_ganaderia_silvicultura_pesca,sectores_explotacion_minas_canteras,sectores_manufactura,sectores_suministro_electricidad_agua,sectores_construccion,sectores_comercio,sectores_transporte_informacion_comunicaciones,sectores_alojamiento_servicios_comida,sectores_actividades_financieras,sectores_actividades_profesionales_inmobiliarias,sectores_administracion_publica,sectores_ensenanza,sectores_salud,sectores_otros_servicios,sectores_economia_total
19,ZAMORA CHINCHIPE,1903,Nangaritza,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39957,SIN_ANIO_1903,2026-07-09,522.44,2191.46,65.68,112.26,248.7,722.01,327.2,20.7,577.24,820.46,9951.89,1918.98,26.82,100.95,17606.79
19,ZAMORA CHINCHIPE,1904,YacuambÃ­,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39958,SIN_ANIO_1904,2026-07-09,198.23,38.31,29.21,69.58,231.61,181.61,121.4,9.07,428.24,564.03,8453.08,1536.0,12.98,40.15,11913.5
19,ZAMORA CHINCHIPE,1905,Yanzatza,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39959,SIN_ANIO_1905,2026-07-09,1712.88,416915.07,1127.6,1410.01,34731.41,18582.01,20025.44,1762.22,4960.11,10068.74,35107.73,6538.05,3736.75,992.88,557670.9
19,ZAMORA CHINCHIPE,1906,El Pangui,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39960,SIN_ANIO_1906,2026-07-09,4353.9,749130.44,1883.24,31339.43,6312.88,8215.71,18318.98,424.36,1932.72,5575.36,19323.6,3236.84,121.28,466.6,850635.3399999999
19,ZAMORA CHINCHIPE,1907,Centinela Del CÃ³ndor,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39961,SIN_ANIO_1907,2026-07-09,233.89,397.66,60.49,184.21,501.69,1615.08,1218.34,52.54,939.61,2090.52,9428.57,1530.26,19.34,205.6,18477.799999999996
19,ZAMORA CHINCHIPE,1908,Palanda,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39962,SIN_ANIO_1908,2026-07-09,749.76,51.16,31.3,129.12,831.67,1509.68,182.2,21.09,622.95,1443.87,12253.77,2168.28,69.62,108.93,20173.399999999998
19,ZAMORA CHINCHIPE,1909,Paquisha,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39963,SIN_ANIO_1909,2026-07-09,163.45,2204.45,16.85,212.47,459.23,787.02,509.16,14.66,389.21,1338.4,9731.47,1294.9,274.57,101.32,17497.16
20,GALÃPAGOS,2001,San CristÃ³bal,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39964,SIN_ANIO_2001,2026-07-09,5119.96,0.0,497.83,1511.03,2062.23,4065.37,7068.25,4241.58,2031.54,14411.78,18274.11,1870.05,2417.2,867.21,64438.14
08,ESMERALDAS,0806,Atacames,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39833,SIN_ANIO_0806,2026-07-09,3443.1,0.0,607.09,2570.46,2968.52,20401.13,764.49,2898.92,1323.72,6159.5,28607.98,13716.53,2083.75,2523.19,88068.38
08,ESMERALDAS,0807,Rioverde,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39834,SIN_ANIO_0807,2026-07-09,11760.91,0.0,108.21,634.86,3903.42,5071.6,203.08,375.95,457.41,709.47,14347.99,8051.89,614.72,518.3,46757.810000000005
09,GUAYAS,0901,Guayaquil,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39835,SIN_ANIO_0901,2026-07-09,1275595.03,117178.46,4971831.49,419079.07,1145031.2,5288872.28,2610630.14,440336.24,1182931.9,5872073.8,1107505.99,975952.43,1445214.56,326639.35,27178871.94
09,GUAYAS,0902,Alfredo Baquerizo Moreno,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39836,SIN_ANIO_0902,2026-07-09,38420.26,0.0,3057.19,892.23,945.31,7470.26,621.33,419.06,430.22,2141.29,7140.86,3882.35,295.13,259.85,65975.34000000001
13,MANABÃ,1301,Portoviejo,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39895,SIN_ANIO_1301,2026-07-09,17150.08,158.89,27715.53,21489.05,69433.9,248387.95,30199.01,15726.49,40838.07,145583.64,169694.04,222944.48,210403.71,25033.52,1244758.36
